Dark Tangerine,#ffa812
Dark Taupe,#483c32
Dark Terra Cotta,#cc4e5c
Dark Turquoise,#00ced1
Dark Violet,#9400d3
Dark Yellow,#9b870c
Dartmouth Green,#00703c
Davy'S gray,#555
Debian Red,#d70a53
Deep Carmine,#a9203e
Deep Carmine Pink,#ef3038
Deep Carrot Orange,#e9692c
Deep Cerise,#da3287
Deep Champagne,#fad6a5
Deep Chestnut,#b94e48
Deep Coffee,#704241
Deep Fuchsia,#c154c1
Deep Jungle Green,#004b49
Deep Lilac,#95b
Deep Magenta,#c0c
Deep Peach,#ffcba4
Deep Pink,#ff1493
Deep Ruby,#843f5b
Deep Saffron,#f93
Deep Sky Blue,#00bfff
Deep Tuscan Red,#66424d
Denim,#1560bd
Desert,#c19a6b
Desert Sand,#edc9af
Dim Gray,#696969
Dodger Blue,#1e90ff
Dogwood Rose,#d71868
Dollar Bill,#85bb65
Drab,#967117
Duke Blue,#00009c
Earth Yellow,#e1a95f
Ebony,#555d50
Ecru,#c2b280
Eggplant,#614051
Eggshell,#f0ead6
Egyptian Blue,#1034a6
Electric Blue,#7df9ff
Electric Crimson,#ff003f
Electric Cyan,#0ff
Electric Green,#0f0
Electric Indigo,#6f00ff
Electric Lavender,#f4bbff
Electric Lime,#cf0
Electric Purple,#bf00ff
Electric Ultramarine,#3f00ff
Electric Violet,#8f00ff
Electric Yellow,#ff0
Emerald,#50c878
English Lavender,#b48395
Eton Blue,#96c8a2
Fallow,#c19a6b
Falu Red,#801818
Fandango,#b53389
Fashion Fuchsia,#f400a1
Fawn,#e5aa70
Feldgrau,#4d5d53
Fern Green,#4f7942
Ferrari Red,#ff2800
Field Drab,#6c541e
Fire Engine Red,#ce2029
Firebrick,#b22222
Flame,#e25822
Flamingo Pink,#fc8eac
Flavescent,#f7e98e
Flax,#eedc82
Floral White,#fffaf0
Fluorescent Orange,#ffbf00
Fluorescent Pink,#ff1493
Fluorescent Yellow,#cf0
Folly,#ff004f
Forest Green (Traditional),#014421
Forest Green (Web),#228b22
French Beige,#a67b5b
French Blue,#0072bb
French Lilac,#86608e
French Lime,#cf0
French Raspberry,#c72c48
French Rose,#f64a8a
Fuchsia,#f0f
Fuchsia (Crayola),#c154c1
Fuchsia Pink,#f7f
Fuchsia Rose,#c74375
Fulvous,#e48400
Fuzzy Wuzzy,#c66
Gainsboro,#dcdcdc
Gamboge,#e49b0f
Ghost White,#f8f8ff
Ginger,#b06500
Glaucous,#6082b6
Glitter,#e6e8fa
Gold (Metallic),#d4af37
Gold (Web) (Golden),#ffd700
Golden Brown,#996515
Golden Poppy,#fcc200
Golden Yellow,#ffdf00
Goldenrod,#daa520
Granny Smith Apple,#a8e4a0
Gray,#808080
Gray-Asparagus,#465945
Gray (Html/Css Gray),#808080
Gray (X11 Gray),#bebebe
Green (Color Wheel) (X11 Green),#0f0
Green (Crayola),#1cac78
Green (Html/Css Green),#008000
Green (Munsell),#00a877
Green (Ncs),#009f6b
Green (Pigment),#00a550
Green (Ryb),#66b032
Green-Yellow,#adff2f
Grullo,#a99a86
Guppie Green,#00ff7f
Halayà úBe,#663854
Han Blue,#446ccf
Han Purple,#5218fa
Hansa Yellow,#e9d66b
Harlequin,#3fff00
Harvard Crimson,#c90016
Harvest Gold,#da9100
Heart Gold,#808000
Heliotrope,#df73ff
Hollywood Cerise,#f400a1
Honeydew,#f0fff0
Honolulu Blue,#007fbf
Hooker'S Green,#49796b
Hot Magenta,#ff1dce
Hot Pink,#ff69b4
Hunter Green,#355e3b
Iceberg,#71a6d2
Icterine,#fcf75e
Imperial Blue,#002395
Inchworm,#b2ec5d
India Green,#138808
Indian Red,#cd5c5c
Indian Yellow,#e3a857
Indigo,#6f00ff
Indigo (Dye),#00416a
Indigo (Web),#4b0082
International Klein Blue,#002fa7
International Orange (Aerospace),#ff4f00
International Orange (Engineering),#ba160c
International Orange (Golden Gate Bridge),#c0362c
Iris,#5a4fcf
Isabelline,#f4f0ec
Islamic Green,#009000
Ivory,#fffff0
Jade,#00a86b
Jasmine,#f8de7e
Jasper,#d73b3e
Jazzberry Jam,#a50b5e
Jet,#343434
Jonquil,#fada5e
June Bud,#bdda57
Jungle Green,#29ab87
Kelly Green,#4cbb17
Kenyan Copper,#7c1c05
Khaki (Html/Css) (Khaki),#c3b091
Khaki (X11) (Light Khaki),#f0e68c
Ku Crimson,#e8000d
La Salle Green,#087830
Languid Lavender,#d6cadd
Lapis Lazuli,#26619c
Laser Lemon,#fefe22
Laurel Green,#a9ba9d
Lava,#cf1020
Lavender Blue,#ccf
Lavender Blush,#fff0f5
Lavender (Floral),#b57edc
Lavender Gray,#c4c3d0
Lavender Indigo,#9457eb
Lavender Magenta,#ee82ee
Lavender Mist,#e6e6fa
Lavender Pink,#fbaed2
Lavender Purple,#967bb6
Lavender Rose,#fba0e3
Lavender (Web),#e6e6fa
Lawn Green,#7cfc00
Lemon,#fff700
Lemon Chiffon,#fffacd
Lemon Lime,#e3ff00
Licorice,#1a1110
Light Apricot,#fdd5b1
Light Blue,#add8e6
Light Brown,#b5651d
Light Carmine Pink,#e66771
Light Coral,#f08080
Light Cornflower Blue,#93ccea
Light Crimson,#f56991
Light Cyan,#e0ffff
Light Fuchsia Pink,#f984ef
Light Goldenrod Yellow,#fafad2
Light Gray,#d3d3d3
Light Green,#90ee90
Light Khaki,#f0e68c
Light Pastel Purple,#b19cd9
Light Pink,#ffb6c1
Light Red Ochre,#e97451
Light Salmon,#ffa07a
Light Salmon Pink,#f99
Light Sea Green,#20b2aa
Light Sky Blue,#87cefa
Light Slate Gray,#789
Light Taupe,#b38b6d
Light Thulian Pink,#e68fac
Light Yellow,#ffffe0
Lilac,#c8a2c8
Lime (Color Wheel),#bfff00
Lime Green,#32cd32
Lime (Web) (X11 Green),#0f0
Limerick,#9dc209
Lincoln Green,#195905
Linen,#faf0e6
Lion,#c19a6b
Little Boy Blue,#6ca0dc
Liver,#534b4f
Lust,#e62020
Magenta,#f0f
Magenta (Dye),#ca1f7b
Magenta (Process),#ff0090
Magic Mint,#aaf0d1
Magnolia,#f8f4ff
Mahogany,#c04000
Maize,#fbec5d
Majorelle Blue,#6050dc
Malachite,#0bda51
Manatee,#979aaa
Mango Tango,#ff8243
Mantis,#74c365
Mardi Gras,#880085
Maroon (Crayola),#c32148
Maroon (Html/Css),#800000
Maroon (X11),#b03060
Mauve,#e0b0ff
Mauve Taupe,#915f6d
Mauvelous,#ef98aa
Maya Blue,#73c2fb
Meat Brown,#e5b73b
Medium Aquamarine,#6da
Medium Blue,#0000cd
Medium Candy Apple Red,#e2062c
Medium Carmine,#af4035
Medium Champagne,#f3e5ab
Medium Electric Blue,#035096
Medium Jungle Green,#1c352d
Medium Lavender Magenta,#dda0dd
Medium Orchid,#ba55d3
Medium Persian Blue,#0067a5
Medium Purple,#9370db
Medium Red-Violet,#bb3385
Medium Ruby,#aa4069
Medium Sea Green,#3cb371
Medium Slate Blue,#7b68ee
Medium Spring Bud,#c9dc87
Medium Spring Green,#00fa9a
Medium Taupe,#674c47
Medium Turquoise,#48d1cc
Medium Tuscan Red,#79443b
Medium Vermilion,#d9603b
Medium Violet-Red,#c71585
Mellow Apricot,#f8b878
Mellow Yellow,#f8de7e
Melon,#fdbcb4
Midnight Blue,#191970
Midnight Green (Eagle Green),#004953
Mikado Yellow,#ffc40c
Mint,#3eb489
Mint Cream,#f5fffa
Mint Green,#98ff98
Misty Rose,#ffe4e1
Moccasin,#faebd7
Mode Beige,#967117
Moonstone Blue,#73a9c2
Mordant Red 19,#ae0c00
Moss Green,#addfad
Mountain Meadow,#30ba8f
Mountbatten Pink,#997a8d
Msu Green,#18453b
Mulberry,#c54b8c
Mustard,#ffdb58
Myrtle,#21421e
Nadeshiko Pink,#f6adc6
Napier Green,#2a8000
Naples Yellow,#fada5e
Navajo White,#ffdead
Navy Blue,#000080
Neon Carrot,#ffa343
Neon Fuchsia,#fe4164
Neon Green,#39ff14
New York Pink,#d7837f
Non-Photo Blue,#a4dded
North Texas Green,#059033
Ocean Boat Blue,#0077be
Ochre,#c72
Office Green,#008000
Old Gold,#cfb53b
Old Lace,#fdf5e6
Old Lavender,#796878
Old Mauve,#673147
Old Rose,#c08081
Olive,#808000
Olive Drab #7,#3c341f
Olive Drab (Web) (Olive Drab #3),#6b8e23
Olivine,#9ab973
Onyx,#353839
Opera Mauve,#b784a7
Orange (Color Wheel),#ff7f00
Orange Peel,#ff9f00
Orange-Red,#ff4500
Orange (Ryb),#fb9902
Orange (Web Color),#ffa500
Orchid,#da70d6
Otter Brown,#654321
Ou Crimson Red,#900
Outer Space,#414a4c
Outrageous Orange,#ff6e4a
Oxford Blue,#002147
Pakistan Green,#060
Palatinate Blue,#273be2
Palatinate Purple,#682860
Pale Aqua,#bcd4e6
Pale Blue,#afeeee
Pale Brown,#987654
Pale Carmine,#af4035
Pale Cerulean,#9bc4e2
Pale Chestnut,#ddadaf
Pale Copper,#da8a67
Pale Cornflower Blue,#abcdef
Pale Gold,#e6be8a
Pale Goldenrod,#eee8aa
Pale Green,#98fb98
Pale Lavender,#dcd0ff
Pale Magenta,#f984e5
Pale Pink,#fadadd
Pale Plum,#dda0dd
Pale Red-Violet,#db7093
Pale Robin Egg Blue,#96ded1
Pale Silver,#c9c0bb
Pale Spring Bud,#ecebbd
Pale Taupe,#bc987e
Pale Violet-Red,#db7093
Pansy Purple,#78184a
Papaya Whip,#ffefd5
Paris Green,#50c878
Pastel Blue,#aec6cf
Pastel Brown,#836953
Pastel Gray,#cfcfc4
Pastel Green,#7d7
Pastel Magenta,#f49ac2
Pastel Orange,#ffb347
Pastel Pink,#dea5a4
Pastel Purple,#b39eb5
Pastel Red,#ff6961
Pastel Violet,#cb99c9
Pastel Yellow,#fdfd96
Patriarch,#800080
Payne'S gray,#536878
Peach,#ffe5b4
Peach (Crayola),#ffcba4
Peach-Orange,#fc9
Peach Puff,#ffdab9
Peach-Yellow,#fadfad
Pear,#d1e231
Pearl,#eae0c8
Pearl Aqua,#88d8c0
Pearly Purple,#b768a2
Peridot,#e6e200
Periwinkle,#ccf
Persian Blue,#1c39bb
Persian Green,#00a693
Persian Indigo,#32127a
Persian Orange,#d99058
Persian Pink,#f77fbe
Persian Plum,#701c1c
Persian Red,#c33
Persian Rose,#fe28a2
Persimmon,#ec5800
Peru,#cd853f
Phlox,#df00ff
Phthalo Blue,#000f89
Phthalo Green,#123524
Piggy Pink,#fddde6
Pine Green,#01796f
Pink,#ffc0cb
Pink Lace,#ffddf4
Pink-Orange,#f96
Pink Pearl,#e7accf
Pink Sherbet,#f78fa7
Pistachio,#93c572
Platinum,#e5e4e2
Plum (Traditional),#8e4585
Plum (Web),#dda0dd
Portland Orange,#ff5a36
Powder Blue (Web),#b0e0e6
Princeton Orange,#ff8f00
Prune,#701c1c
Prussian Blue,#003153
Psychedelic Purple,#df00ff
Puce,#c89
Pumpkin,#ff7518
Purple Heart,#69359c
Purple (Html/Css),#800080
Purple Mountain Majesty,#9678b6
Purple (Munsell),#9f00c5
Purple Pizzazz,#fe4eda
Purple Taupe,#50404d
Purple (X11),#a020f0
Quartz,#51484f
Rackley,#5d8aa8
Radical Red,#ff355e
Rajah,#fbab60
Raspberry,#e30b5d
Raspberry Glace,#915f6d
Raspberry Pink,#e25098
Raspberry Rose,#b3446c
Raw Umber,#826644
Razzle Dazzle Rose,#f3c
Razzmatazz,#e3256b
Red,#f00
Red-Brown,#a52a2a
Red Devil,#860111
Red (Munsell),#f2003c
Red (Ncs),#c40233
Red-Orange,#ff5349
Red (Pigment),#ed1c24
Red (Ryb),#fe2712
Red-Violet,#c71585
Redwood,#ab4e52
Regalia,#522d80
Resolution Blue,#002387
Rich Black,#004040
Rich Brilliant Lavender,#f1a7fe
Rich Carmine,#d70040
Rich Electric Blue,#0892d0
Rich Lavender,#a76bcf
Rich Lilac,#b666d2
Rich Maroon,#b03060
Rifle Green,#414833
Robin Egg Blue,#0cc
Rose,#ff007f
Rose Bonbon,#f9429e
Rose Ebony,#674846
Rose Gold,#b76e79
Rose Madder,#e32636
Rose Pink,#f6c
Rose Quartz,#aa98a9
Rose Taupe,#905d5d
Rose Vale,#ab4e52
Rosewood,#65000b
Rosso Corsa,#d40000
Rosy Brown,#bc8f8f
Royal Azure,#0038a8
Royal Blue (Traditional),#002366
Royal Blue (Web),#4169e1
Royal Fuchsia,#ca2c92
Royal Purple,#7851a9
Royal Yellow,#fada5e
Rubine Red,#d10056
Ruby,#e0115f
Ruby Red,#9b111e
Ruddy,#ff0028
Ruddy Brown,#bb6528
Ruddy Pink,#e18e96
Rufous,#a81c07
Russet,#80461b
Rust,#b7410e
Rusty Red,#da2c43
Sacramento State Green,#00563f
Saddle Brown,#8b4513
Safety Orange (Blaze Orange),#ff6700
Saffron,#f4c430
Salmon,#ff8c69
Salmon Pink,#ff91a4
Sand,#c2b280
Sand Dune,#967117
Sandstorm,#ecd540
Sandy Brown,#f4a460
Sandy Taupe,#967117
Sangria,#92000a
Sap Green,#507d2a
Sapphire,#0f52ba
Sapphire Blue,#0067a5
Satin Sheen Gold,#cba135
Scarlet,#ff2400
Scarlet (Crayola),#fd0e35
School Bus Yellow,#ffd800
Screamin' Green,#76ff7a
Sea Blue,#006994
Sea Green,#2e8b57
Seal Brown,#321414
Seashell,#fff5ee
Selective Yellow,#ffba00
Sepia,#704214
Shadow,#8a795d
Shamrock Green,#009e60
Shocking Pink,#fc0fc0
Shocking Pink (Crayola),#ff6fff
Sienna,#882d17
Silver,#c0c0c0
Sinopia,#cb410b
Skobeloff,#007474
Sky Blue,#87ceeb
Sky Magenta,#cf71af
Slate Blue,#6a5acd
Slate Gray,#708090
Smalt (Dark Powder Blue),#039
Smokey Topaz,#933d41
Smoky Black,#100c08
Snow,#fffafa
Spiro Disco Ball,#0fc0fc
Spring Bud,#a7fc00
Spring Green,#00ff7f
St. Patrick'S Blue,#23297a
Steel Blue,#4682b4
Stil De Grain Yellow,#fada5e
Stizza,#900
Stormcloud,#4f666a
Straw,#e4d96f
Sunglow,#fc3
Sunset,#fad6a5
Tan,#d2b48c
Tangelo,#f94d00
Tangerine,#f28500
Tangerine Yellow,#fc0
Tango Pink,#e4717a
Taupe,#483c32
Taupe Gray,#8b8589
Tea Green,#d0f0c0
Tea Rose (Orange),#f88379
Tea Rose (Rose),#f4c2c2
Teal,#008080
Teal Blue,#367588
Teal Green,#00827f
Telemagenta,#cf3476
Tenné (Tawny),#cd5700
Terra Cotta,#e2725b
Thistle,#d8bfd8
Thulian Pink,#de6fa1
Tickle Me Pink,#fc89ac
Tiffany Blue,#0abab5
Tiger'S Eye,#e08d3c
Timberwolf,#dbd7d2
Titanium Yellow,#eee600
Tomato,#ff6347
Toolbox,#746cc0
Topaz,#ffc87c
Tractor Red,#fd0e35
Trolley gray,#808080
Tropical Rain Forest,#00755e
True Blue,#0073cf
Tufts Blue,#417dc1
Tumbleweed,#deaa88
Turkish Rose,#b57281
Turquoise,#30d5c8
Turquoise Blue,#00ffef
Turquoise Green,#a0d6b4
Tuscan Red,#7c4848
Twilight Lavender,#8a496b
Tyrian Purple,#66023c
Ua Blue,#03a
Ua Red,#d9004c
Ube,#8878c3
Ucla Blue,#536895
Ucla Gold,#ffb300
Ufo Green,#3cd070
Ultra Pink,#ff6fff
Ultramarine,#120a8f
Ultramarine Blue,#4166f5
Umber,#635147
Unbleached Silk,#ffddca
United Nations Blue,#5b92e5
University Of California Gold,#b78727
Unmellow Yellow,#ff6
Up Forest Green,#014421
Up Maroon,#7b1113
Upsdell Red,#ae2029
Urobilin,#e1ad21
Usafa Blue,#004f98
Usc Cardinal,#900
Usc Gold,#fc0
Utah Crimson,#d3003f
Vanilla,#f3e5ab
Vegas Gold,#c5b358
Venetian Red,#c80815
Verdigris,#43b3ae
Vermilion (Cinnabar),#e34234
Vermilion (Plochere),#d9603b
Veronica,#a020f0
Violet,#8f00ff
Violet-Blue,#324ab2
Violet (Color Wheel),#7f00ff
Violet (Ryb),#8601af
Violet (Web),#ee82ee
Viridian,#40826d
Vivid Auburn,#922724
Vivid Burgundy,#9f1d35
Vivid Cerise,#da1d81
Vivid Tangerine,#ffa089
Vivid Violet,#9f00ff
Warm Black,#004242
Waterspout,#a4f4f9
Wenge,#645452
Wheat,#f5deb3
White,#fff
White Smoke,#f5f5f5
Wild Blue Yonder,#a2add0
Wild Strawberry,#ff43a4
Wild Watermelon,#fc6c85
Wine,#722f37
Wine Dregs,#673147
Wisteria,#c9a0dc
Wood Brown,#c19a6b
Xanadu,#738678
Yale Blue,#0f4d92
Yellow,#ff0
Yellow-Green,#9acd32
Yellow (Munsell),#efcc00
Yellow (Ncs),#ffd300
Yellow Orange,#ffae42
Yellow (Process),#ffef00
Yellow (Ryb),#fefe33
Zaffre,#0014a8
Zinnwaldite Brown,#2c1608
cloudy blue,#acc2d9
dark pastel green,#56ae57
dust,#b2996e
electric lime,#a8ff04
fresh green,#69d84f
light eggplant,#894585
nasty green,#70b23f
really light blue,#d4ffff
tea,#65ab7c
warm purple,#952e8f
yellowish tan,#fcfc81
cement,#a5a391
dark grass green,#388004
dusty teal,#4c9085
gray teal,#5e9b8a
macaroni and cheese,#efb435
pinkish tan,#d99b82
spruce,#0a5f38
strong blue,#0c06f7
toxic green,#61de2a
windows blue,#3778bf
blue blue,#2242c7
blue with a hint of purple,#533cc6
booger,#9bb53c
bright sea green,#05ffa6
dark green blue,#1f6357
deep turquoise,#017374
green teal,#0cb577
strong pink,#ff0789
bland,#afa88b
deep aqua,#08787f
lavender pink,#dd85d7
light moss green,#a6c875
light seafoam green,#a7ffb5
olive yellow,#c2b709
pig pink,#e78ea5
deep lilac,#966ebd
desert,#ccad60
dusty lavender,#ac86a8
purpley gray,#947e94
purply,#983fb2
candy pink,#ff63e9
light pastel green,#b2fba5
boring green,#63b365
kiwi green,#8ee53f
light gray green,#b7e1a1
orange pink,#ff6f52
tea green,#bdf8a3
very light brown,#d3b683
egg shell,#fffcc4
eggplant purple,#430541
powder pink,#ffb2d0
reddish gray,#997570
baby shit brown,#ad900d
liliac,#c48efd
stormy blue,#507b9c
ugly brown,#7d7103
custard,#fffd78
darkish pink,#da467d
deep brown,#410200
greenish beige,#c9d179
manilla,#fffa86
off blue,#5684ae
battleship gray,#6b7c85
browny green,#6f6c0a
bruise,#7e4071
kelley green,#009337
sickly yellow,#d0e429
sunny yellow,#fff917
azul,#1d5dec
darkgreen,#054907
green/yellow,#b5ce08
lichen,#8fb67b
light light green,#c8ffb0
pale gold,#fdde6c
sun yellow,#ffdf22
tan green,#a9be70
burple,#6832e3
butterscotch,#fdb147
toupe,#c7ac7d
dark cream,#fff39a
indian red,#850e04
light lavendar,#efc0fe
poison green,#40fd14
baby puke green,#b6c406
bright yellow green,#9dff00
charcoal gray,#3c4142
squash,#f2ab15
cinnamon,#ac4f06
light pea green,#c4fe82
radioactive green,#2cfa1f
raw sienna,#9a6200
baby purple,#ca9bf7
cocoa,#875f42
light royal blue,#3a2efe
orangeish,#fd8d49
rust brown,#8b3103
sand brown,#cba560
swamp,#698339
tealish green,#0cdc73
burnt siena,#b75203
camo,#7f8f4e
dusk blue,#26538d
fern,#63a950
old rose,#c87f89
pale light green,#b1fc99
peachy pink,#ff9a8a
rosy pink,#f6688e
light bluish green,#76fda8
light bright green,#53fe5c
light neon green,#4efd54
light seafoam,#a0febf
tiffany blue,#7bf2da
washed out green,#bcf5a6
browny orange,#ca6b02
nice blue,#107ab0
sapphire,#2138ab
grayish teal,#719f91
orangey yellow,#fdb915
parchment,#fefcaf
straw,#fcf679
very dark brown,#1d0200
terracota,#cb6843
ugly blue,#31668a
clear blue,#247afd
creme,#ffffb6
foam green,#90fda9
gray/green,#86a17d
light gold,#fddc5c
seafoam blue,#78d1b6
topaz,#13bbaf
violet pink,#fb5ffc
wintergreen,#20f986
yellow tan,#ffe36e
dark fuchsia,#9d0759
indigo blue,#3a18b1
light yellowish green,#c2ff89
pale magenta,#d767ad
rich purple,#720058
sunflower yellow,#ffda03
green/blue,#01c08d
leather,#ac7434
racing green,#014600
vivid purple,#9900fa
dark royal blue,#02066f
hazel,#8e7618
muted pink,#d1768f
booger green,#96b403
canary,#fdff63
cool gray,#95a3a6
dark taupe,#7f684e
darkish purple,#751973
true green,#089404
coral pink,#ff6163
dark sage,#598556
dark slate blue,#214761
flat blue,#3c73a8
mushroom,#ba9e88
rich blue,#021bf9
dirty purple,#734a65
greenblue,#23c48b
icky green,#8fae22
light khaki,#e6f2a2
warm blue,#4b57db
dark hot pink,#d90166
deep sea blue,#015482
carmine,#9d0216
dark yellow green,#728f02
pale peach,#ffe5ad
plum purple,#4e0550
golden rod,#f9bc08
neon red,#ff073a
old pink,#c77986
very pale blue,#d6fffe
blood orange,#fe4b03
grapefruit,#fd5956
sand yellow,#fce166
clay brown,#b2713d
dark blue gray,#1f3b4d
flat green,#699d4c
light green blue,#56fca2
warm pink,#fb5581
dodger blue,#3e82fc
gross green,#a0bf16
ice,#d6fffa
metallic blue,#4f738e
pale salmon,#ffb19a
sap green,#5c8b15
algae,#54ac68
bluey gray,#89a0b0
greeny gray,#7ea07a
highlighter green,#1bfc06
light light blue,#cafffb
light mint,#b6ffbb
raw umber,#a75e09
vivid blue,#152eff
deep lavender,#8d5eb7
dull teal,#5f9e8f
light greenish blue,#63f7b4
mud green,#606602
pinky,#fc86aa
red wine,#8c0034
